,Date,Hashrate_Price_Multiple
771,2018-01-03,16415540.6674
772,2018-01-02,14975580.9597
773,2018-01-01,15177350.2495
774,2017-12-31,13687548.998
775,2017-12-30,15363575.406
776,2017-12-29,13873774.1545
777,2017-12-28,14525562.202
778,2017-12-27,13221986.107
779,2017-12-26,12570198.0594
780,2017-12-25,14153111.8891
781,2017-12-24,12942648.3723
782,2017-12-23,14432449.6238
783,2017-12-22,12290860.3248
784,2017-12-21,12663310.6376
785,2017-12-20,13035760.9505
786,2017-12-19,16946489.2357
787,2017-12-18,14630524.3133
788,2017-12-17,13523349.5004
789,2017-12-16,13365181.67
790,2017-12-15,14630524.3133
791,2017-12-14,14709608.2285
792,2017-12-13,12337090.7723
793,2017-12-12,13523349.5004
794,2017-12-11,12969762.0939
795,2017-12-10,13760601.246
796,2017-12-09,12337090.7723
797,2017-12-08,11941671.1962
798,2017-12-07,14867776.0589
799,2017-12-06,11918845.1662
800,2017-12-05,12119724.5791
801,2017-12-04,11784925.5576
802,2017-12-03,10780528.492999999
803,2017-12-02,12253644.1877
804,2017-12-01,11182287.3189
805,2017-11-30,11584046.1447
806,2017-11-29,10445729.4715
807,2017-11-28,11383166.7318
808,2017-11-27,10244850.0586
809,2017-11-26,10445729.4715
810,2017-11-25,9977010.84138
811,2017-11-24,10648648.957999999
812,2017-11-23,8342572.113589999
813,2017-11-22,11733861.5907
814,2017-11-21,11869513.1697
815,2017-11-20,10852126.3266
816,2017-11-19,9224307.37762
817,2017-11-18,11326906.8534
818,2017-11-17,10309520.0103
819,2017-11-16,10309520.0103
820,2017-11-15,8681701.06129
821,2017-11-14,9495610.53579
822,2017-11-13,5426063.16331
823,2017-11-12,5426063.16331
824,2017-11-11,8139094.744960001
825,2017-11-10,11049821.7439
826,2017-11-09,10399832.2296
827,2017-11-08,11266484.9154
828,2017-11-07,9605400.60094
829,2017-11-06,10183169.0581
830,2017-11-05,9388737.42949
831,2017-11-04,8594305.80084
832,2017-11-03,10833158.5725
833,2017-11-02,7872095.229339999
834,2017-11-01,9966505.88669
835,2017-10-31,10616495.401
836,2017-10-30,11122042.8011
837,2017-10-29,6138789.85775
838,2017-10-28,7510989.943589999
839,2017-10-27,12999790.287
840,2017-10-26,11006184.1902
841,2017-10-25,9935312.2149
842,2017-10-24,10173283.765
843,2017-10-23,10827705.5276
844,2017-10-22,9102411.7897
845,2017-10-21,10649226.8651
846,2017-10-20,10589733.9776
847,2017-10-19,8983426.01467
848,2017-10-18,9756833.55236
849,2017-10-17,10351762.4275
850,2017-10-16,11601113.0653
851,2017-10-15,7877324.11724
852,2017-10-14,7597986.38258
853,2017-10-13,8547734.680410001
854,2017-10-12,7765589.02337
855,2017-10-11,8938807.508919999
856,2017-10-10,8994675.05585
857,2017-10-09,10167893.5414
858,2017-10-08,8827072.41506
859,2017-10-07,8882939.961989999
860,2017-10-06,6983443.366339999
861,2017-10-05,7486251.28872
862,2017-10-04,10223761.0883
863,2017-10-03,8380132.03961
864,2017-10-02,7130546.525339999
865,2017-10-01,7569349.388439999
866,2017-09-30,9269710.48294
867,2017-09-29,9708513.34604
868,2017-09-28,8063002.60942
869,2017-09-27,7569349.388439999
